"S1Code","S1Ware","S1long","S1lat","S2Code","S2Ware","S2long","S2lat","JacDissim","JacSim"
"CS","CS-JPA","47.26","32.62","CS","CS-BR","47.26","32.62","0.666666666666667","0.333333333333333"
"CS","CS-SRC","47.26","32.62","AK","AK-JPA","47.32492222","32.55781389","0.5","0.5"
"CS","CS-SRC","47.26","32.62","AR","AR-SW","53.40545556","29.86275833","0.2","0.8"
"CS","CS-SRC","47.26","32.62","AT","AT-PA","44.75538889","38.21327778","0.6","0.4"
"CS","CS-SRC","47.26","32.62","B","B-B","54.40972222","28.64277778","0.571428571428572","0.428571428571428"
"CS","CS-SRC","47.26","32.62","BC","BC-D","53.332575","36.7631","0.166666666666667","0.833333333333333"
"CS","CS-SRC","47.26","32.62","CA","CA-PABW","51.445895","35.60760056","0.5","0.5"
"CS","CS-SRC","47.26","32.62","CB1","CB1-PBW","49.9787","35.7806","0.2","0.8"
"CS","CS-SRC","47.26","32.62","CB2","CB2-BBP","48.505855","32.221305","0.333333333333333","0.666666666666667"
"CS","CS-SRC","47.26","32.62","CB2","CB2-BCP","48.505855","32.221305","0.333333333333333","0.666666666666667"
"CS","CS-SRC","47.26","32.62","CB2","CB2-MCP","48.505855","32.221305","0.333333333333333","0.666666666666667"
"CS","CS-SRC","47.26","32.62","CB2","CB2-MRP","48.505855","32.221305","0.625","0.375"
"CS","CS-SRC","47.26","32.62","CB2","CB2-PB","48.505855","32.221305","0.375","0.625"
"CS","CS-SRC","47.26","32.62","CB2","CB2-SP","48.505855","32.221305","0.333333333333333","0.666666666666667"
"CS","CS-SRC","47.26","32.62","CM","CM-PB","48.555928","32.224015","0.333333333333333","0.666666666666667"
"CS","CS-SRC","47.26","32.62","CM","CM-RB","48.555928","32.224015","0.5","0.5"
"CS","CS-SRC","47.26","32.62","CS","CS-BC","47.26","32.62","0.2","0.8"
"CS","CS-SRC","47.26","32.62","CS","CS-BR","47.26","32.62","0.75","0.25"
"CS","CS-SRC","47.26","32.62","CS","CS-JPA","47.26","32.62","0.5","0.5"
"DKT","DKT-PA","54.98194444","36.53555556","AK","AK-JPA","47.32492222","32.55781389","0","1"
"DKT","DKT-PA","54.98194444","36.53555556","AR","AR-SW","53.40545556","29.86275833","0.625","0.375"
"DKT","DKT-PA","54.98194444","36.53555556","AT","AT-PA","44.75538889","38.21327778","0.4","0.6"
"DKT","DKT-PA","54.98194444","36.53555556","B","B-B","54.40972222","28.64277778","0.5","0.5"
"DKT","DKT-PA","54.98194444","36.53555556","BC","BC-D","53.332575","36.7631","0.375","0.625"
"DKT","DKT-PA","54.98194444","36.53555556","CA","CA-PABW","51.445895","35.60760056","0","1"
"DKT","DKT-PA","54.98194444","36.53555556","CB1","CB1-PBW","49.9787","35.7806","0.625","0.375"
"DKT","DKT-PA","54.98194444","36.53555556","CB2","CB2-BBP","48.505855","32.221305","0.5","0.5"
"DKT","DKT-PA","54.98194444","36.53555556","CB2","CB2-BCP","48.505855","32.221305","0.5","0.5"
"DKT","DKT-PA","54.98194444","36.53555556","CB2","CB2-MCP","48.505855","32.221305","0.285714285714286","0.714285714285714"
"DKT","DKT-PA","54.98194444","36.53555556","CB2","CB2-MRP","48.505855","32.221305","0.375","0.625"
"DKT","DKT-PA","54.98194444","36.53555556","CB2","CB2-PB","48.505855","32.221305","0.125","0.875"
"DKT","DKT-PA","54.98194444","36.53555556","CB2","CB2-SP","48.505855","32.221305","0.285714285714286","0.714285714285714"
"DKT","DKT-PA","54.98194444","36.53555556","CM","CM-PB","48.555928","32.224015","0.5","0.5"
"DKT","DKT-PA","54.98194444","36.53555556","CM","CM-RB","48.555928","32.224015","0.625","0.375"
"DKT","DKT-PA","54.98194444","36.53555556","CS","CS-BC","47.26","32.62","0.625","0.375"
"DKT","DKT-PA","54.98194444","36.53555556","CS","CS-BR","47.26","32.62","0.666666666666667","0.333333333333333"
"DKT","DKT-PA","54.98194444","36.53555556","CS","CS-JPA","47.26","32.62","0","1"
"DKT","DKT-PA","54.98194444","36.53555556","CS","CS-SRC","47.26","32.62","0.5","0.5"
"H","H-PA","53.51537389","30.50747583","AK","AK-JPA","47.32492222","32.55781389","0.7","0.3"
"H","H-PA","53.51537389","30.50747583","AR","AR-SW","53.40545556","29.86275833","0.75","0.25"
"H","H-PA","53.51537389","30.50747583","AT","AT-PA","44.75538889","38.21327778","0.5","0.5"
"H","H-PA","53.51537389","30.50747583","B","B-B","54.40972222","28.64277778","0.777777777777778","0.222222222222222"
"H","H-PA","53.51537389","30.50747583","BC","BC-D","53.332575","36.7631","0.8","0.2"
"H","H-PA","53.51537389","30.50747583","CA","CA-PABW","51.445895","35.60760056","0.7","0.3"
"H","H-PA","53.51537389","30.50747583","CB1","CB1-PBW","49.9787","35.7806","0.75","0.25"
"H","H-PA","53.51537389","30.50747583","CB2","CB2-BBP","48.505855","32.221305","0.777777777777778","0.222222222222222"
"H","H-PA","53.51537389","30.50747583","CB2","CB2-BCP","48.505855","32.221305","0.777777777777778","0.222222222222222"
"H","H-PA","53.51537389","30.50747583","CB2","CB2-MCP","48.505855","32.221305","0.9","0.1"
"H","H-PA","53.51537389","30.50747583","CB2","CB2-MRP","48.505855","32.221305","0.666666666666667","0.333333333333333"
"H","H-PA","53.51537389","30.50747583","CB2","CB2-PB","48.505855","32.221305","0.6","0.4"
"H","H-PA","53.51537389","30.50747583","CB2","CB2-SP","48.505855","32.221305","0.777777777777778","0.222222222222222"
"H","H-PA","53.51537389","30.50747583","CM","CM-PB","48.555928","32.224015","0.777777777777778","0.222222222222222"
"H","H-PA","53.51537389","30.50747583","CM","CM-RB","48.555928","32.224015","0.75","0.25"
"H","H-PA","53.51537389","30.50747583","CS","CS-BC","47.26","32.62","0.75","0.25"
"H","H-PA","53.51537389","30.50747583","CS","CS-BR","47.26","32.62","0.428571428571429","0.571428571428571"
"H","H-PA","53.51537389","30.50747583","CS","CS-JPA","47.26","32.62","0.7","0.3"
"H","H-PA","53.51537389","30.50747583","CS","CS-SRC","47.26","32.62","0.777777777777778","0.222222222222222"
"H","H-PA","53.51537389","30.50747583","DKT","DKT-PA","54.98194444","36.53555556","0.7","0.3"
"HC","HC-CA","53.332575","36.7631","AK","AK-JPA","47.32492222","32.55781389","0.6","0.4"
"HC","HC-CA","53.332575","36.7631","AR","AR-SW","53.40545556","29.86275833","0.777777777777778","0.222222222222222"
"HC","HC-CA","53.332575","36.7631","AT","AT-PA","44.75538889","38.21327778","0.545454545454545","0.454545454545455"
"HC","HC-CA","53.332575","36.7631","B","B-B","54.40972222","28.64277778","0.666666666666667","0.333333333333333"
"HC","HC-CA","53.332575","36.7631","BC","BC-D","53.332575","36.7631","0.7","0.3"
"HC","HC-CA","53.332575","36.7631","CA","CA-PABW","51.445895","35.60760056","0.6","0.4"
"HC","HC-CA","53.332575","36.7631","CB1","CB1-PBW","49.9787","35.7806","0.777777777777778","0.222222222222222"
"HC","HC-CA","53.332575","36.7631","CB2","CB2-BBP","48.505855","32.221305","0.666666666666667","0.333333333333333"
"HC","HC-CA","53.332575","36.7631","CB2","CB2-BCP","48.505855","32.221305","0.666666666666667","0.333333333333333"
"HC","HC-CA","53.332575","36.7631","CB2","CB2-MCP","48.505855","32.221305","0.8","0.2"
"HC","HC-CA","53.332575","36.7631","CB2","CB2-MRP","48.505855","32.221305","0.555555555555556","0.444444444444444"
"HC","HC-CA","53.332575","36.7631","CB2","CB2-PB","48.505855","32.221305","0.5","0.5"
"HC","HC-CA","53.332575","36.7631","CB2","CB2-SP","48.505855","32.221305","0.8","0.2"
"HC","HC-CA","53.332575","36.7631","CM","CM-PB","48.555928","32.224015","0.666666666666667","0.333333333333333"
"HC","HC-CA","53.332575","36.7631","CM","CM-RB","48.555928","32.224015","0.777777777777778","0.222222222222222"
"HC","HC-CA","53.332575","36.7631","CS","CS-BC","47.26","32.62","0.777777777777778","0.222222222222222"
"HC","HC-CA","53.332575","36.7631","CS","CS-BR","47.26","32.62","0.285714285714286","0.714285714285714"
"HC","HC-CA","53.332575","36.7631","CS","CS-JPA","47.26","32.62","0.6","0.4"
"HC","HC-CA","53.332575","36.7631","CS","CS-SRC","47.26","32.62","0.8","0.2"
"HC","HC-CA","53.332575","36.7631","DKT","DKT-PA","54.98194444","36.53555556","0.6","0.4"
"HC","HC-CA","53.332575","36.7631","H","H-PA","53.51537389","30.50747583","0.142857142857143","0.857142857142857"
"HC","HC-CN","53.332575","36.7631","AK","AK-JPA","47.32492222","32.55781389","0.727272727272727","0.272727272727273"
"HC","HC-CN","53.332575","36.7631","AR","AR-SW","53.40545556","29.86275833","0.9","0.1"
"HC","HC-CN","53.332575","36.7631","AT","AT-PA","44.75538889","38.21327778","0.666666666666667","0.333333333333333"
"HC","HC-CN","53.332575","36.7631","B","B-B","54.40972222","28.64277778","0.5","0.5"
"HC","HC-CN","53.332575","36.7631","BC","BC-D","53.332575","36.7631","0.7","0.3"
"HC","HC-CN","53.332575","36.7631","CA","CA-PABW","51.445895","35.60760056","0.727272727272727","0.272727272727273"
"HC","HC-CN","53.332575","36.7631","CB1","CB1-PBW","49.9787","35.7806","0.9","0.1"
"HC","HC-CN","53.332575","36.7631","CB2","CB2-BBP","48.505855","32.221305","0.8","0.2"
"HC","HC-CN","53.332575","36.7631","CB2","CB2-BCP","48.505855","32.221305","0.8","0.2"
"HC","HC-CN","53.332575","36.7631","CB2","CB2-MCP","48.505855","32.221305","0.666666666666667","0.333333333333333"
"HC","HC-CN","53.332575","36.7631","CB2","CB2-MRP","48.505855","32.221305","0.555555555555556","0.444444444444444"
"HC","HC-CN","53.332575","36.7631","CB2","CB2-PB","48.505855","32.221305","0.75","0.25"
"HC","HC-CN","53.332575","36.7631","CB2","CB2-SP","48.505855","32.221305","0.8","0.2"
"HC","HC-CN","53.332575","36.7631","CM","CM-PB","48.555928","32.224015","0.8","0.2"
"HC","HC-CN","53.332575","36.7631","CM","CM-RB","48.555928","32.224015","0.625","0.375"
"HC","HC-CN","53.332575","36.7631","CS","CS-BC","47.26","32.62","0.9","0.1"
"HC","HC-CN","53.332575","36.7631","CS","CS-BR","47.26","32.62","0.666666666666667","0.333333333333333"
"HC","HC-CN","53.332575","36.7631","CS","CS-JPA","47.26","32.62","0.727272727272727","0.272727272727273"
"HC","HC-CN","53.332575","36.7631","CS","CS-SRC","47.26","32.62","0.8","0.2"
