Munsell,ISCCNBS,R,G,B,L,a,b
5YR 7/2,brownish pink,190.8820543,169.4106523,155.9865275,70.86443554,5.572918367,9.76591582
5YR 7/3,moderate yellowish pink,198.5653192,167.4397311,147.0985947,70.86559468,8.255744802,14.75149355
5YR 7/4,moderate yellowish pink,205.7658882,165.4369181,138.0123374,70.86621413,10.92758869,19.83353976
5YR 7/6,moderate orange,219.2076009,161.2232611,118.9228539,70.86552851,16.38634704,30.4171969
5YR 7/8,moderate orange,230.274094,157.2298438,100.2866425,70.86290864,21.34793783,40.51135417
5YR 8/1,pinkish gray,208.3902102,197.9913428,191.2649594,80.52951995,2.456643837,4.660123601
5YR 8/2,pale yellowish pink,216.5706392,196.1479132,182.4280381,80.53183325,4.938678294,9.491631199
5YR 8/3,light yellowish pink,225.1384203,194.0374961,172.5652534,80.53356089,7.748643928,14.87963383
5YR 8/4,light yellowish pink,233.2254438,191.8743479,162.4918532,80.53463115,10.58079104,20.36971265
5YR 8/6,light orange,247.0567119,187.7134111,143.6263169,80.5344497,15.90983703,30.58595021
5YR 8/8,light orange,255,183.2430849,121.6993475,80.53300281,21.38417908,42.22781432
7.5YR 2.5/1,brownish gray,67.4507044,58.12633413,52.35112449,25.25795458,2.950516578,5.086141863
7.5YR 2.5/2,grayish brown,73.45358958,56.51032923,44.71011546,25.25908192,5.541957433,10.23426638
7.5YR 2.5/3,moderate brown,78.41609912,54.9628207,36.97088229,25.25931656,7.918403358,15.37930737
7.5YR 2.5/4,moderate brown,82.74733659,53.42762198,28.54010326,25.25881937,10.1783685,20.80956939
7.5YR 2.5/6,strong brown,90.3690662,50.20381577,3.333222108,25.25563585,14.62873623,33.83983566
7.5YR 2.5/8,strong brown,95.97228227,47.39630533,0,25.25242096,18.13700514,45.38401713
7.5YR 3/1,brownish gray,79.90903789,69.60080482,63.08739987,30.38072268,3.131318379,5.532527832
7.5YR 3/2,grayish brown,86.52895635,67.85144601,54.64938801,30.38217995,5.858683193,11.05434808
7.5YR 3/3,moderate brown,91.90205426,66.21520072,46.42406311,30.38261368,8.314720192,16.37564837
