Site Code,Site,Ware Code,Pottery Identifier,LongDD,LatDD,SurfacePale,SurfaceLight,SurfaceMod,SurfaceDark,SlipPale,SlipLight,SlipMod,SlipDark,Decorated,Burnished,PaintPale,PaintLight,PaintMod,PaintDark,Incised,SlipBichrome,PaintBichrome,Slip Crusted
TG,Tepe Guran,TG-BW,Buff Ware,47.09775,33.75661944,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
TG,Tepe Guran,TG-GBW,Greyish-Brown Ware,47.09775,33.75661944,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TG,Tepe Guran,TG-RS1,Red-slipped 1,47.09775,33.75661944,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
TG,Tepe Guran,TG-RS2,Red-slipped 2,47.09775,33.75661944,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
TG,Tepe Guran,TG-SP,Standard Painted,47.09775,33.75661944,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
TI,Tal-i Iblis,TI-LPA,Lalehzar Coarse Ware - Painted,56.84,30.16,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
TI,Tal-i Iblis,TI-LPL,Lalehzar Coarse Ware - Plain,56.84,30.16,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
TJ1,Tal-e Jari,TJ1-ACCW,A Common Coarse Ware,52.93935833,29.83546667,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
TJ1,Tal-e Jari,TJ1-AMW,A Medium Ware,52.93935833,29.83546667,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
TJ1,Tal-e Jari,TJ1-BCCW,B Common Coarse Ware,52.93935833,29.83546667,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
TJ1,Tal-e Jari,TJ1-BMW,B Medium Ware,52.93935833,29.83546667,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
TJ1,Tal-e Jari,TJ1-BPBW,B Painted Buff Ware,52.93935833,29.83546667,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
TJ2,Tol-e Jalyan,TJ2-J,Jalyan,52.884524,29.944845,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
TK1,Tal-e Kutahi,TK1-JW,Jari Ware,52.50527778,29.58277778,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
TK1,Tal-e Kutahi,TK1-KW,Kutahi Ware,52.50527778,29.58277778,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
TK1,Tal-e Kutahi,TK1-MW,Mushki Ware,52.50527778,29.58277778,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
TK2,Tang-e Kiareh,TK-PA,Painted,52.44198611,29.91753611,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
TK2,Tang-e Kiareh,TK-PL,Plain,52.44198611,29.91753611,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TKS,Tapeh Kah Sareh,TKS-PA1,Painted Group 1,45.96586111,34.36161667,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0
TKS,Tapeh Kah Sareh,TKS-PA2,Painted Group 2,45.96586111,34.36161667,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
TKS,Tapeh Kah Sareh,TKS-PL,Plain,45.96586111,34.36161667,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
TM1,Tal-e Mushki,TM1-BIS,Bichrome Slip,52.96494722,29.81067222,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0
TM1,Tal-e Mushki,TM1-BUS,Buff Slipped,52.96494722,29.81067222,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
TM1,Tal-e Mushki,TM1-PCW,Plain Coarse Ware,52.96494722,29.81067222,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TM1,Tal-e Mushki,TM1-PRS,Red Slipped,52.96494722,29.81067222,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0
TM2,Tol-e Mianrud,TM2-KCW,Karami Coarse Ware,52.884524,29.944845,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TM2,Tol-e Mianrud,TM2-KP1,Karami Painted 1,52.884524,29.944845,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
TM2,Tol-e Mianrud,TM2-KP2,Karami Painted 2,52.884524,29.944845,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
TN1,Tapeh Nawtapan,TN1-PA,Painted,45.92961111,34.37497222,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
TN1,Tapeh Nawtapan,TN1-PL,Plain,45.92961111,34.37497222,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TN2,Tapeh Noshirwan ,TN2-PA,Painted,45.83991667,34.58545,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
TN2,Tapeh Noshirwan ,TN2-PL,Plain,45.83991667,34.58545,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TNU,Tol-e Nurabad,TNU-PA,Painted,51.52121667,30.1224,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0
TNU,Tol-e Nurabad,TNU-PAB,Painted Bichrome,51.52121667,30.1224,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0
TNU,Tol-e Nurabad,TNU-PL,Plain,51.52121667,30.1224,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
TNU,Tol-e Nurabad,TNU-PLB,Plain Burnished,51.52121667,30.1224,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
TP1,Tepe Pahlavan,TP1-1,Type 1,56.37194444,36.92472222,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
TP1,Tepe Pahlavan,TP1-3,Type 3,56.37194444,36.92472222,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0
TP2,Tepe Pardis,TP2-CBW,Coarse Buff Ware,51.59030833,35.42112778,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TP2,Tepe Pardis,TP2-S1PBW,Sialk 1 Painted Buff Ware,51.59030833,35.42112778,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0
TP2,Tepe Pardis,TP2-S1UPBW,Sialk 1 Unpainted Buff Ware,51.59030833,35.42112778,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
TQA,Tol-e Qasr-e Ahmad ,TQA-BR,Burnished Red,52.76638889,29.17416667,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
